Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
&Charge,https://www.crunchbase.com/organization/charge-gmbh,Active,,"Advertising Platforms, Automotive, Big Data, Guides, Information Technology, Mobile Advertising, Private Social Networking, Transportation","Frankfurt, Hessen, Germany",&Charge is the only European platform combining smart user engagement with value-added services around EV charging,"213,130","European Union (EU), Europe, Middle East, and Africa (EMEA)",60486,$1M to $10M,2019-09-26,day,,,,,For Profit,https://and-charge.com/#/,,,https://www.linkedin.com/company/charge-gmbh/?viewAsMember=true,"We improve the EV charging experience by making it more affordable, reliable & fun. &Charge is the only European platform combining smart user engagement with value-added services around EV charging. &Charge App: &Charge offers a digital one stop-shop engagement and service platform for every EV driver – we serve as the user’s companion for EV Charging: >> Free public charging with our rewards program >> Most accurate POI data with our crowd-sourced data stream >> Huge coverage of charging stations with our Wallbox Sharing system B2B Services: &Charge’s value-added services solve constraints and ensure additional benefit for the different players in the EV ecosystem such as CPOs, EMPs and Roaming platforms.","Advertising, Community and Lifestyle, Data and Analytics, Information Technology, Media and Entertainment, Sales and Marketing, Transportation",3,11-50,"Eugen Letkemann, Matthias Drechsler, Simon Vogt",1,Seed,2021-11-09,,,,Seed,,,,Seed,,,,,,,"Porsche Ventures, Helen Ventures",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Admetrics,https://www.crunchbase.com/organization/admetrics,Active,,"Advertising, Analytics, Information Technology, Software","Frankfurt, Hessen, Germany",Admetrics is the first unified analytics solution with integrated experimentation engine and AI-based marketing assistant.,"93,501","European Union (EU), Europe, Middle East, and Africa (EMEA)",60314,,2015-01-01,year,,,,,For Profit,https://www.admetrics.io,https://twitter.com/admetricsio?lang=en,https://www.facebook.com/admetrics/,https://www.linkedin.com/company/admetrics-gmbh/,Admetrics provides unparalleled insights into marketing data by providing a unified analytics solution with integrated experimentation engine and AI-based marketing assistant. The marketing intelligence platform provides advertisers with actionable insights across all channels. By combining an accessible reporting interface and cutting-edge data science tools with precise measurement technology the self-service platform enables forward-thinking brands and agencies to pioneer a game-changing approach to experimentation: Implementing an agile always-on experimentation process enables Admetrics' clients to innovate faster and invest marketing budgets more intelligently.,"Advertising, Data and Analytics, Information Technology, Sales and Marketing, Software",2,11-50,"Markus Repetschnig, Thomas Einsporn",2,Seed,2023-09-22,,,,Angel,,,,Angel,250000,USD,250000,250000,USD,250000,"Newchip Accelerator, Jens Wasel, Hannibal Soares, Toni Hilti",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
AISOMA,https://www.crunchbase.com/organization/aisoma,Active,,"Artificial Intelligence (AI), Big Data, Embedded Software, Human Computer Interaction, Industrial Automation, Industrial Engineering, Machine Learning, Software Engineering","Frankfurt, Hessen, Germany",AISOMA is a manufacturer AI consulting in the areas of artificial intelligence and big data analytics.,"405,649","European Union (EU), Europe, Middle East, and Africa (EMEA)",60313,$1M to $10M,2017-01-01,year,,,,,For Profit,http://www.aisoma.de,https://twitter.com/AISOMA_AG,,https://www.linkedin.com/company/aisoma-analytics,"AISOMA is a manufacturer AI consulting in the areas of artificial intelligence and big data analytics. AISOMA AG is a multidisciplinary team of experienced data scientists, data visualization experts and software developers. These combined skill sets and competencies allows them to not only build predictive and prescriptive models, but also to engineer software in a tailor-made big data infrastructure that efficiently processes data, applies algorithms and exposes data-driven insights. Irrespective of an organization's current big data maturity level, they help their clients to translate their goals in the design, implementation and utilization of innovative AI-based solutions.","Artificial Intelligence (AI), Data and Analytics, Design, Manufacturing, Science and Engineering, Software",2,11-50,"Kazim Bahar, Murat Durmus",2,Seed,2018-05-21,,,,Seed,,,,Seed,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,5
Aomics GmbH,https://www.crunchbase.com/organization/aomics-gmbh,Active,,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Machine Learning","Frankfurt, Hessen, Germany","Aomics: A Global Data Science CRO, Delivering Expert Biostatistics and Statistical Programming Solutions","448,565","European Union (EU), Europe, Middle East, and Africa (EMEA)",65760,Less than $1M,2019-06-01,month,,,,,For Profit,https://aomics.com,,https://www.facebook.com/Aomics-2493455430697195,https://www.linkedin.com/company/aomics,"Welcome to Aomics GmbH, a German-based clinical data science CRO that provides comprehensive statistical consulting, programming, and bioinformatics services for clinical projects. We possess deep expertise in a wide array of clinical biometrics, including clinical statistics, statistical programming, clinical data management and medical writing. Our team of seasoned professionals is dedicated to providing our clients with the highest level of support and guidance, ensuring the success of their clinical research endeavours.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",1,1-10,Rahul Sharma,2,Seed,2021-08-26,,EUR,,Grant,,EUR,,Seed,,EUR,,,EUR,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
autengo,https://www.crunchbase.com/organization/autengo,Active,,"Automotive, Information Technology, SaaS, Software","Frankfurt, Hessen, Germany",SaaS for car dealerships,"111,901","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2016-09-01,day,,,,,For Profit,http://www.autengo.com,,http://facebook.com/autengo,https://www.linkedin.com/company/autengo/,"autengo offers Software-as-a-Service solutions for car dealerships by providing a product and service cloud for sales and marketing Having raised over 2M€, acquiring more than 500 enterprise customers autengo was acquired by Alzura (tyre24), the leading european b2b marketplace for the automotive aftermarket.","Information Technology, Software, Transportation",1,11-50,Sebastian Fischer,1,,2019-03-13,2000000,USD,2000000,Venture - Series Unknown,2000000,USD,2000000,Venture - Series Unknown,2000000,USD,2000000,2000000,USD,2000000,"STS Ventures, Hessen Kapital I, Gerald Schoenbucher, Johannis Hatt",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
awamo,https://www.crunchbase.com/organization/awamo,Active,,"Banking, Biometrics, Financial Services, FinTech, SaaS, Software","Frankfurt, Hessen, Germany",Mobile banking & business platform for microfinance,"106,844","European Union (EU), Europe, Middle East, and Africa (EMEA)",60329,Less than $1M,2015-06-12,day,,,,,For Profit,https://awamo.com,https://twitter.com/awamo_group,https://www.facebook.com/awamo.inc,https://www.linkedin.com/company/9473106,"awamo offers a mobile, biometric core banking system (SaaS) to microfinance institutions in sub-Saharan Africa. It is affordable, easy-to-use, and platform independent. Using this platform 300+ institutions serving 450,000+ consumers are being connected. Going forward, they will be able to additionally sell partner products & services, generating additional revenue and fostering local economic growth.  The market awamo serves accounts for more than 600m individuals in sub-Saharan Africa – only considering awamo’s core services. In awamo's target markets, there are already more than 16,000 MFIs operational with more than 210,000 staff serving 53m+ consumers. Besides, the microfinance sector grows at >10% p.a. and Africa’s population is about to more than double to 2.4bn people until 2050.  Currently, Awamo serves 300+ institutions with 450,000+ consumers in Uganda and Kenya. Month-over-month more than 150,000+ transactions are being processed, moving more than 7m EUR through the platform.","Biotechnology, Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software",3,51-100,"Benedikt Kramer, Dr. Roland Claussen, Philipp Neub",3,Seed,2018-09-20,,,,Seed,,,,Seed,2250000,USD,2250000,2250000,USD,2250000,"KFW DEG, FinLab, Jochen Berger, Bernd Wendeln",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,1
BITA,https://www.crunchbase.com/organization/bita,Active,,"Finance, Financial Services, FinTech","Frankfurt, Hessen, Germany",BITA is the world's first provider of end-to-end infrastructure for self-indexing and systematic investing.,"22,782","European Union (EU), Europe, Middle East, and Africa (EMEA)",60329,Less than $1M,2018-02-01,month,,,,,For Profit,http://www.bitadata.com,https://twitter.com/bitadata,https://www.facebook.com/bitadata,https://www.linkedin.com/company/bita-gmbh/,"BITA is the world's first provider of end-to-end infrastructure for index-based and systematic investing. BITA's platform allows institutional clients to flexibly design, backtest, calculate and benchmark investment strategies and indexes without having to rely on traditional index solutions, multiple data vendors and complex internal tools. BITA was founded in 2018 and is headquartered in Frankfurt, Hessen.",Financial Services,4,51-100,"Christoph Bruck, Paul Herrera, Ruben Feldman, Victor Hugo Gomez Zerpa",4,Early Stage Venture,2021-11-09,6000000,EUR,6956699,Series A,6000000,EUR,6956699,Series A,7250000,EUR,8360389,7250000,EUR,8360389,"Volta Ventures, Futury Capital, ETFS Capital, Pamica NV, Startupbootcamp FinTech & CyberSecurity",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Blockchain HELIX,https://www.crunchbase.com/organization/blockchain-helix-ag,Active,,"Bitcoin, Blockchain, Cryptocurrency","Frankfurt, Hessen, Germany",Blockchain HELIX is a blockchain technology that offers a digital identity solutions.,"2,175,303","European Union (EU), Europe, Middle East, and Africa (EMEA)",60329,$1M to $10M,2016-01-01,year,,,,,For Profit,http://www.blockchain-helix.com,https://twitter.com/BlockchainHelix,https://www.facebook.com/blockchainhelix,https://www.linkedin.com/company/blockchain-helix-ag,Blockchain HELIX provides digital identity solutions for individuals and businesses. They provide technology that improves data quality while reducing operational costs.,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",1,11-50,Oliver Naegele,2,Seed,2021-08-05,,,,Seed,,,,Seed,,,,,,,"Startupbootcamp Australia, FinLab, EOS VC Fund",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
BLOCKSIZE,https://www.crunchbase.com/organization/blocksize-capital,Active,,"Blockchain, Cryptocurrency, FinTech, SaaS, Software, Trading Platform","Frankfurt, Hessen, Germany",BLOCKSIZE empowers financial market participants to transform their business and provide bank-grade solutions for managing digital assets.,"39,692","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-10-01,day,,,,,For Profit,https://www.blocksize.info,,,https://www.linkedin.com/company/blocksizecapital/,"The new wave of innovation in finance will focus on digital assets and electronic securities. In the near future, all kinds of assets will be issued natively on blockchains or represented in a tokenized format. BLOCKSIZE data, consulting and software services enable new market entrances and traditional players to overcome entry-barriers to these new business opportunities. BLOCKSIZE empowers financial institutions to provide cutting-edge technology for embracing the transformation to digital capital markets. The BLOCKSIZE solutions include compliant market data, oracle operations as well as the issuance, trading, staking and management of digital assets across the lifecycle. Simply put: Passion to enable With a team of experienced financial business professionals and know-how in blockchain technology, BLOCKSIZE enables its clients to transform their business and to leverage emerging regulatory opportunities in digital assets and electronic securities. The BLOCKSIZE advisory services and solutions have a track record in enabling clients to solve complex technical challenges. BLOCKSIZE is headquartered in Germany. The company is transferring German excellence in engineering, compliance, and stability to users worldwide – by ensuring the solutions work in the markets relevant to the customers.","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",2,11-50,"Christian Labetzsch, Christoph Impekoven",3,Early Stage Venture,2021-07-20,4300000,EUR,5066507,Series A,4300000,EUR,5066507,Series A,5900000,EUR,6867770,5900000,EUR,6867770,FiveT Fintech (formerly Avaloq Ventures),,1,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Bullfinch,https://www.crunchbase.com/organization/bullfinch,Active,,"Embedded Systems, Energy, Finance, Financial Services, FinTech, Impact Investing, Lending, Renewable Energy","Frankfurt, Hessen, Germany",Point of Sale BNPL financing platform for renewable energy,"36,167","European Union (EU), Europe, Middle East, and Africa (EMEA)",60313,$1M to $10M,2019-01-01,year,,,,,For Profit,https://www.bullfinch.com,,,https://www.linkedin.com/company/bullfinchasset/,Point of Sale BNPL financing platform for renewable energy,"Energy, Financial Services, Hardware, Lending and Investments, Science and Engineering, Software, Sustainability",2,11-50,"Robin Haack, Simon David Bartmann",4,Seed,2022-01-17,5500000,USD,5500000,Seed,5500000,USD,5500000,Seed,10061669,USD,10061669,10061669,USD,10061669,"EWE AG, 10x Value Partners, MOMENI Ventures, Elevate Capital, Impax Asset Management",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
cang.eco,https://www.crunchbase.com/organization/cang-eco,Active,,"Beauty, E-Commerce, Fast-Moving Consumer Goods","Frankfurt, Hessen, Germany",cang.eco is Europe's subscription platform for clean & green products. We combine the best third party brands with own products.,"136,569","European Union (EU), Europe, Middle East, and Africa (EMEA)",60386,,2019-02-02,day,,,,,For Profit,http://www.cang.eco,,https://www.facebook.com/cang.eco,https://www.linkedin.com/company/cang-eco/,"cang.eco is a subscription service for healthy and sustainable products for your home and body. We identify the best products, include our community in the selection process and offer them a peace of mind model so they don't have to worry anymore if products are good for them or the environment. We also develop our own products and brands and involve our community in active challenges to improve their daily lives.","Commerce and Shopping, Consumer Goods, Real Estate",1,1-10,Gerald Heydenreich,1,Seed,2020-07-05,2800000,EUR,3149312,Seed,2800000,EUR,3149312,Seed,2800000,EUR,3149312,2800000,EUR,3149312,"BM H Beteiligungs-Managementgesellschaft Hessen, Conny & Co, Henkel Ventures",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
Cansativa Group,https://www.crunchbase.com/organization/cansativa-group,Active,,"B2B, Cannabis, Pharmaceutical, Wholesale","Frankfurt, Hessen, Germany",WE ENABLE CANNABIS - Building the largest cannabis platform and offering the most desirable products and brands,"56,499","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2017-01-01,year,,,,,For Profit,https://www.cansativa-group.com,,,https://www.linkedin.com/company/18468896,"We are creating an accessible ecosystem – together with the people. As Cansativa Group, we are resolutely blazing new trails alongside governmental bodies, administrators and our commercial partners as we are developing a dependable and diversified product and service landscape in Germany and Europe. Cannabis is an innovative future industry with enormous potential. We are the platform that makes cannabis available in Germany and Europe!","Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Other",3,11-50,"Benedikt Sons, Benedikt Sons, Jakob Sons",4,Early Stage Venture,2022-02-16,15000000,USD,15000000,Series B,15000000,USD,15000000,Series B,19500000,USD,19500000,20700000,USD,20700000,"Greenfield Global, Northern Swan, Casa Verde Capital, Argonautic Ventures, Alluti",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Captiq,https://www.crunchbase.com/organization/captiq,Active,,"Financial Services, FinTech","Frankfurt, Hessen, Germany","Captiq is a a digital online financing platform for doctors, pharmacists, lawyers and other chamber professions.","144,928","European Union (EU), Europe, Middle East, and Africa (EMEA)",60311,,2017-01-01,year,,,,,For Profit,https://www.captiq.com,https://twitter.com/CAPTIQ2018,https://www.facebook.com/Captiq-165465234387692/,https://www.linkedin.com/company/captiq/,"CAPTIQ will be the first alternative online financing solution available the needs of chamber professions. CAPTIQ operates a B2B platform, which is the granting of loans Chambersber simplifies, for example, for the establishment of a doctor's office, an engineering office or a law firm. Especially at Amounts under 100,000 euros, it can just for entrepreneurs one To be challenged to receive a classic bank loan for this purpose such volumes are not economically attractive to traditional financiers are. Alternative online financing is common for these professionals not accessible as the vast majority of these chamber occupationsn not formed as corporations; P2P financing platforms turn, are not based on the requirements of loan amount and term aligned. CAPTIQ offers rating-dependent financing to marketable ones Conditions in the range from 5,000 to 750,000 euros.",Financial Services,2,11-50,"Lorenz Beimler, Soraya Braun",3,,2023-02-27,,,,Venture - Series Unknown,,,,Venture - Series Unknown,2600000,EUR,2924088,2600000,EUR,2924088,"Sino AG, Hessen Kapital",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Cardisio,https://www.crunchbase.com/organization/cardisio,Active,,"Artificial Intelligence (AI), Fitness, Health Care, Wellness","Frankfurt, Hessen, Germany",Cardisio is a company that uses artificial intelligence in a non-invasive screening test for coronary and structural heart diseases.,"37,784","European Union (EU), Europe, Middle East, and Africa (EMEA)",60549,$1M to $10M,2016-01-01,year,,,,,For Profit,https://cardis.io/,https://twitter.com/Crdsio,https://www.facebook.com/Cardisio,https://www.linkedin.com/company/cardisio/?originalSubdomain=af,"Cardisio is a mobile health tech company that uses artificial intelligence in a non-invasive screening test for coronary and structural heart diseases. The Cardisiography test can detect heart disease early, allowing for preventive treatment to avoid a potentially fatal heart attack. Cardisiography analyzes the individual three-dimensional electrophysical profile of the heart and recognizes pathological patterns of heart diseases using a proprietary algorithm and neural networks (AI). The test requires a PC to access the web service (Cardisio Cloud), a data collector (e.g. a Cardisiograph), and commercially available ECG cables as well as five disposable electrodes.","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Sports",4,11-50,"Burghardt Tenderich, Gero Tenderich, Klaus Tenderich, Meik Baumeister",3,,2023-01-17,342484,GBP,420698,Grant,5000000,EUR,5214547,Venture - Series Unknown,8500000,EUR,9285574,9706272,USD,9706272,"LEA Partners, SBRI Healthcare, Jim Davidson, Shawn O'Neill",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
CargoSteps,https://www.crunchbase.com/organization/cargosteps,Active,,"Logistics, Shipping, Software, Transportation","Frankfurt, Hessen, Germany",CargoSteps is a platform for automated backloads in B2B logistics built on a cross company real-time track & trace solution. ,"158,070","European Union (EU), Europe, Middle East, and Africa (EMEA)",60329,$1M to $10M,2015-01-01,year,,,,,For Profit,https://www.cargosteps.com/,https://www.twitter.com/cargosteps,https://www.facebook.com/CargoSteps/,https://www.linkedin.com/company/10907319,"CargoSteps is a platform for automated backloads in B2B express and courier logistics built on a cross company real-time track & trace solution that provides proactive status updates. Processes with SMEs in logistics are very time and cost intensive. The need for transparency and real-time status updates of shipments in the time critical express and courier market is very strong. Also 95% of car to van sized vehicles in this market are driving back empty after delivering a shipment, because those SMEs have only a small regional network that provides them with jobs and with the high pace in this time critical market, they can't organize backloads in time. An essential USP of CargoSteps is the cross company functionality with multiple parties of every size. Small companies usually have no system at all for their daily work and medium sized companies in this market have only isolated solutions that can't be used with their partners and subcontractors. With CargoSteps they can work with any company worldwide in less than 2 minutes. This opens completely new possibilities like the automated marketplace for backloads which you only have with slow and time uncritical general cargo shipments for big trucks with a minimum shipment size of one pallet. Everything below that gets ignored. CargoSteps on the other hand focuses on shipment sizes usually below a pallet but doesn't exclude any larger shipments. With CargoSteps' marketplace companies can improve their turnover about 50% while improving their service and freeing resources with the track & trace solution.","Software, Transportation",1,1-10,Murat Karakaya,4,Seed,2017-03-05,12500,EUR,13276,Grant,200000,EUR,222767,Seed,200000,EUR,222767,262500,EUR,290915,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
